# Time-averaged data for fix 3
# TimeStep c_st[0] c_st[1] c_st[2] c_st[3] c_st[4] c_st[5] c_st[6]
68500 0.535742 1.02709 0.537248 0.0428826 -4.58076 -20.0304 12.3472
69000 1.13117 0.810908 1.09912 1.48348 -4.63943 -15.5144 14.0062
69500 0.282009 1.3489 0.276379 -0.779248 -1.97959 -12.1337 10.9581
70000 1.73066 0.667651 2.4324 2.09192 4.18361 -5.73815 7.41961
70500 0.292762 -0.487639 0.143513 1.22241 0.419096 -0.496606 1.03856
71000 2.22245 3.61477 2.38353 0.669049 -9.32328 -13.3776 -2.32758
71500 0.543448 -0.429837 0.310591 1.74959 -7.32055 -11.2096 -5.3139
72000 0.662628 1.08417 -0.0232433 0.92696 -2.03863 -4.64924 2.42952
72500 1.21952 0.943991 2.76637 -0.051809 -1.27343 -9.57632 5.9744
73000 1.87401 2.12981 0.496483 2.99575 -3.10104 9.96363 11.5367
73500 0.603577 0.31902 0.872046 0.619667 -3.70724 19.84 17.2804
74000 1.18144 3.10569 -0.450253 0.888889 -6.33745 -4.35618 11.9887
74500 0.871788 -1.27587 3.025 0.866232 3.07885 -1.34909 8.57671
75000 0.505249 1.05438 0.532471 -0.0711005 -1.6654 -11.6222 0.137223
75500 1.25589 1.14459 0.726932 1.89614 0.104739 -14.3316 6.27427
76000 1.07396 0.419535 0.437768 2.36459 -0.758607 -6.2608 11.7024
76500 0.889538 1.49056 2.27732 -1.09927 -2.93358 -9.049 5.29037
77000 1.03569 0.294239 0.374128 2.43869 -3.2792 -5.67558 -1.88366
77500 1.1834 1.25856 1.8643 0.427364 -4.19665 -1.59214 1.42154
78000 1.24516 1.08024 1.01759 1.63766 -1.4724 1.74812 1.6329
78500 0.749501 1.12255 0.373726 0.752223 -1.75528 2.84978 3.96317
79000 -0.0846592 0.135238 -0.0149893 -0.374226 0.542372 0.466621 3.80666
79500 1.40605 1.93891 0.370362 1.90888 0.991715 5.04586 6.3086
80000 1.2441 0.863093 1.53484 1.33435 1.59868 2.69669 5.53938
80500 1.5448 2.13565 1.56936 0.929378 0.682578 -6.19716 8.5819
81000 0.133507 -0.844506 1.4259 -0.180875 -0.36764 4.6078 11.547
81500 1.7944 2.24411 0.959042 2.18004 -0.896265 -6.09623 9.05009
82000 0.72081 0.120675 0.911563 1.13019 1.65861 -13.2261 10.162
82500 0.750923 0.976752 0.579774 0.696243 -2.71969 -4.64512 7.63634
83000 1.04025 0.253835 1.90445 0.962465 -2.99053 -3.05497 7.82478
83500 0.67651 1.53663 0.032055 0.460846 -5.62146 2.54572 16.5128
84000 1.64265 0.803064 1.19249 2.93239 -4.93468 -11.7537 17.96
84500 0.801734 1.71786 1.31108 -0.623742 -9.2078 -12.8924 11.5532
85000 1.1322 1.72577 0.812688 0.858151 -9.1102 2.18476 9.41562
85500 1.34283 0.802226 0.212616 3.01365 -1.67733 -15.4158 10.2004
86000 -0.237368 0.0691307 0.749703 -1.53094 -5.56821 -8.86712 9.52472
86500 1.11527 0.865849 2.42774 0.0522228 -3.48871 5.20626 7.97061
87000 2.09003 2.92944 0.403298 2.93736 0.834519 -7.97124 1.90446
87500 0.768262 0.973144 1.47276 -0.141114 2.128 -12.564 1.4738
88000 0.722346 -0.420713 1.12701 1.46074 -5.966 -7.30934 0.974439
88500 1.28324 1.62243 0.5828 1.64449 -0.882626 -4.16034 -0.127565
89000 0.837471 0.647411 1.52009 0.344912 2.0625 -1.7172 5.02519
89500 0.365182 0.2947 0.192208 0.608638 -5.41274 7.36605 5.78785
90000 1.6214 2.18242 0.963789 1.71798 -4.80111 -4.48932 4.47373
90500 0.953172 -0.259218 2.54089 0.577841 -3.47435 -10.3466 6.10875
91000 1.39063 3.06133 -0.726689 1.83724 -6.82919 -19.792 4.14741
91500 1.04844 0.667313 2.47901 -0.00100053 8.80115 -5.9317 10.4597
92000 1.22668 0.0466878 0.845127 2.78823 1.32372 -11.0802 4.24258
92500 0.123016 0.14275 0.481943 -0.255646 2.94656 -5.80961 14.8441
93000 1.40505 1.56086 1.25905 1.39524 2.55022 -11.7114 12.6639
